"","steps","date","interval","DOW","naSteps"
"1",NA,"2012-10-01",0,"Monday",TRUE
"2",NA,"2012-10-01",5,"Monday",TRUE
"3",NA,"2012-10-01",10,"Monday",TRUE
"4",NA,"2012-10-01",15,"Monday",TRUE
"5",NA,"2012-10-01",20,"Monday",TRUE
"6",NA,"2012-10-01",25,"Monday",TRUE
"7",NA,"2012-10-01",30,"Monday",TRUE
"8",NA,"2012-10-01",35,"Monday",TRUE
"9",NA,"2012-10-01",40,"Monday",TRUE
"10",NA,"2012-10-01",45,"Monday",TRUE
"11",NA,"2012-10-01",50,"Monday",TRUE
"12",NA,"2012-10-01",55,"Monday",TRUE
"13",NA,"2012-10-01",100,"Monday",TRUE
"14",NA,"2012-10-01",105,"Monday",TRUE
"15",NA,"2012-10-01",110,"Monday",TRUE
"16",NA,"2012-10-01",115,"Monday",TRUE
"17",NA,"2012-10-01",120,"Monday",TRUE
"18",NA,"2012-10-01",125,"Monday",TRUE
"19",NA,"2012-10-01",130,"Monday",TRUE
"20",NA,"2012-10-01",135,"Monday",TRUE
"21",NA,"2012-10-01",140,"Monday",TRUE
"22",NA,"2012-10-01",145,"Monday",TRUE
"23",NA,"2012-10-01",150,"Monday",TRUE
"24",NA,"2012-10-01",155,"Monday",TRUE
"25",NA,"2012-10-01",200,"Monday",TRUE
"26",NA,"2012-10-01",205,"Monday",TRUE
"27",NA,"2012-10-01",210,"Monday",TRUE
"28",NA,"2012-10-01",215,"Monday",TRUE
"29",NA,"2012-10-01",220,"Monday",TRUE
"30",NA,"2012-10-01",225,"Monday",TRUE
"31",NA,"2012-10-01",230,"Monday",TRUE
"32",NA,"2012-10-01",235,"Monday",TRUE
"33",NA,"2012-10-01",240,"Monday",TRUE
"34",NA,"2012-10-01",245,"Monday",TRUE
"35",NA,"2012-10-01",250,"Monday",TRUE
"36",NA,"2012-10-01",255,"Monday",TRUE
"37",NA,"2012-10-01",300,"Monday",TRUE
"38",NA,"2012-10-01",305,"Monday",TRUE
"39",NA,"2012-10-01",310,"Monday",TRUE
"40",NA,"2012-10-01",315,"Monday",TRUE
"41",NA,"2012-10-01",320,"Monday",TRUE
"42",NA,"2012-10-01",325,"Monday",TRUE
"43",NA,"2012-10-01",330,"Monday",TRUE
"44",NA,"2012-10-01",335,"Monday",TRUE
"45",NA,"2012-10-01",340,"Monday",TRUE
"46",NA,"2012-10-01",345,"Monday",TRUE
"47",NA,"2012-10-01",350,"Monday",TRUE
"48",NA,"2012-10-01",355,"Monday",TRUE
"49",NA,"2012-10-01",400,"Monday",TRUE
"50",NA,"2012-10-01",405,"Monday",TRUE
"51",NA,"2012-10-01",410,"Monday",TRUE
"52",NA,"2012-10-01",415,"Monday",TRUE
"53",NA,"2012-10-01",420,"Monday",TRUE
"54",NA,"2012-10-01",425,"Monday",TRUE
"55",NA,"2012-10-01",430,"Monday",TRUE
"56",NA,"2012-10-01",435,"Monday",TRUE
"57",NA,"2012-10-01",440,"Monday",TRUE
"58",NA,"2012-10-01",445,"Monday",TRUE
"59",NA,"2012-10-01",450,"Monday",TRUE
"60",NA,"2012-10-01",455,"Monday",TRUE
"61",NA,"2012-10-01",500,"Monday",TRUE
"62",NA,"2012-10-01",505,"Monday",TRUE
"63",NA,"2012-10-01",510,"Monday",TRUE
"64",NA,"2012-10-01",515,"Monday",TRUE
"65",NA,"2012-10-01",520,"Monday",TRUE
"66",NA,"2012-10-01",525,"Monday",TRUE
"67",NA,"2012-10-01",530,"Monday",TRUE
"68",NA,"2012-10-01",535,"Monday",TRUE
"69",NA,"2012-10-01",540,"Monday",TRUE
"70",NA,"2012-10-01",545,"Monday",TRUE
"71",NA,"2012-10-01",550,"Monday",TRUE
"72",NA,"2012-10-01",555,"Monday",TRUE
"73",NA,"2012-10-01",600,"Monday",TRUE
"74",NA,"2012-10-01",605,"Monday",TRUE
"75",NA,"2012-10-01",610,"Monday",TRUE
"76",NA,"2012-10-01",615,"Monday",TRUE
"77",NA,"2012-10-01",620,"Monday",TRUE
"78",NA,"2012-10-01",625,"Monday",TRUE
"79",NA,"2012-10-01",630,"Monday",TRUE
"80",NA,"2012-10-01",635,"Monday",TRUE
"81",NA,"2012-10-01",640,"Monday",TRUE
"82",NA,"2012-10-01",645,"Monday",TRUE
"83",NA,"2012-10-01",650,"Monday",TRUE
"84",NA,"2012-10-01",655,"Monday",TRUE
"85",NA,"2012-10-01",700,"Monday",TRUE
"86",NA,"2012-10-01",705,"Monday",TRUE
"87",NA,"2012-10-01",710,"Monday",TRUE
"88",NA,"2012-10-01",715,"Monday",TRUE
"89",NA,"2012-10-01",720,"Monday",TRUE
"90",NA,"2012-10-01",725,"Monday",TRUE
"91",NA,"2012-10-01",730,"Monday",TRUE
"92",NA,"2012-10-01",735,"Monday",TRUE
"93",NA,"2012-10-01",740,"Monday",TRUE
"94",NA,"2012-10-01",745,"Monday",TRUE
"95",NA,"2012-10-01",750,"Monday",TRUE
"96",NA,"2012-10-01",755,"Monday",TRUE
"97",NA,"2012-10-01",800,"Monday",TRUE
"98",NA,"2012-10-01",805,"Monday",TRUE
"99",NA,"2012-10-01",810,"Monday",TRUE
"100",NA,"2012-10-01",815,"Monday",TRUE
"101",NA,"2012-10-01",820,"Monday",TRUE
"102",NA,"2012-10-01",825,"Monday",TRUE
"103",NA,"2012-10-01",830,"Monday",TRUE
"104",NA,"2012-10-01",835,"Monday",TRUE
"105",NA,"2012-10-01",840,"Monday",TRUE
"106",NA,"2012-10-01",845,"Monday",TRUE
"107",NA,"2012-10-01",850,"Monday",TRUE
"108",NA,"2012-10-01",855,"Monday",TRUE
"109",NA,"2012-10-01",900,"Monday",TRUE
"110",NA,"2012-10-01",905,"Monday",TRUE
"111",NA,"2012-10-01",910,"Monday",TRUE
"112",NA,"2012-10-01",915,"Monday",TRUE
"113",NA,"2012-10-01",920,"Monday",TRUE
"114",NA,"2012-10-01",925,"Monday",TRUE
